Simulated Temperature Changes,Fraction of global area,CCSM4,CNRM-CM5,COSMOS-ASO,FGOALS-g2,GISS-E2-R,INM-CM4-8,IPSL-CM5A-LR,MIROC-ES2L,MIROC-ESM,MPI-ESM1-2-LR,MPI-ESM-P,MRI-CGCM3,UofT-CCSM-4 
GLOBAL,1.000,-4.91,-2.63,-5.47,-4.58,-4.8,-3.72,-4.6,-4.04,-5,-3.91,-4.41,-4.68,-5.27
GLOBAL (over land),1.000,-7.09,-4.29,-8.08,-7.29,-8.01,-6.83,-7.27,-6.34,-8.11,-6.19,-7.25,-6.51,-6.83
GLOBAL (over ocean),1.000,-4,-1.93,-4.36,-3.46,-3.46,-2.41,-3.47,-3.08,-3.7,-2.94,-3.21,-3.91,-4.61
60-90oN,0.067,20.2,22.74,19.01,21.95,20.38,21.38,18.86,20.8,16.67,19.56,19.01,21.05,23.37
60-90oN (over land),0.118,15.55,18.06,14.63,17.49,15.98,15.39,13.24,16.5,12.5,15.74,14.69,16.23,18.73
60-90oN (over ocean),0.045,25.29,27.12,23.83,26.08,25.83,27.42,24.28,25.83,21.15,23.6,23.53,26.28,29.24
30-60oN,0.183,-0.82,2.57,-1.09,2.28,0.73,0.66,0.91,1.44,-1.47,0.92,0.28,1.72,-0.63
30-60oN (over land),0.312,-3.41,-0.41,-4.88,2.36,-1.41,-2.81,-0.93,-0.09,-2.99,-1.98,-3.07,-0.75,-2.87
30-60oN (over ocean),0.129,0.08,3.23,0.58,2.75,2.18,2.82,2.1,3.18,0.05,2.24,1.85,2.97,0.1
0-30oN,0.250,-15.94,-13.44,-17.05,-15.25,-16.05,-14.13,-15.18,-13.62,-15.29,-14.82,-15.28,-15.1,-16.54
0-30oN (over land),0.247,-27.85,-25.44,-29.94,-28.26,-31.08,-27.44,-27.32,-26.11,-28.51,-27.95,-29.12,-27.34,-28.29
0-30oN (over ocean),0.251,-17.21,-13.75,-17.8,-15.83,-15.84,-13.75,-15.64,-13.82,-15.92,-15.17,-15.32,-15.8,-18.24
30oS-0,0.250,-1.44,-0.32,-1.46,0.25,-1.33,-1.02,-0.39,-0.66,-0.05,-0.38,-0.94,-2.45,-2.36
30oS-0 (over land),0.196,-13.19,-11.68,-15.67,-11.62,-14.1,-13.24,-12.35,-12.46,-12.44,-12.87,-13.56,-14.17,-13.63
30oS-0 (over ocean),0.273,4.05,4.95,4.13,5.65,3.92,3.87,4.91,3.99,5.07,5.12,4.52,2.6,3.06
60-30oS,0.183,-15.2,-12.89,-16.35,-14.27,-15.13,-13.22,-14.61,-12.82,-14.07,-13.63,-14.15,-14.96,-16.01
60-30oS (over land),0.037,-25.48,-22.81,-27.53,-24.87,-27.88,-25.22,-26.3,-23.15,-25.77,-23.81,-25.23,-25.18,-26.25
60-30oS (over ocean),0.244,-16.4,-13.34,-17.1,-15.05,-15.38,-13.24,-14.83,-13.38,-14.67,-14.28,-14.48,-16,-17.54
90-60oS,0.067,30.47,29.05,27.95,28.44,25.9,26.18,25.18,21.19,28.67,25.35,25.32,25.94,29.34
90-60oS (over land),0.090,40.96,44.41,43.53,37.48,40.62,41.09,37.48,32.78,39.52,40.39,40.05,37.65,40.13
90-60oS (over ocean),0.057,26.21,21.16,21.9,24.97,19.07,18.33,18.35,13.73,22.71,18.27,18.38,20.57,25.09
